topic,subtopic,problem,difficulty,solved,notes
Arrays / Hashing / Prefix-sum,Arrays / Hashing / Prefix-sum,Subarray Sum Equals K,Medium,FALSE,
Arrays / Hashing / Prefix-sum,Arrays / Hashing / Prefix-sum,Subarrays with K Different Integers,Hard,FALSE,
Arrays / Hashing / Prefix-sum,Arrays / Hashing / Prefix-sum,Count of Range Sum,Hard,FALSE,
Arrays / Hashing / Prefix-sum,Arrays / Hashing / Prefix-sum,Maximum Sum of 3 Non-Overlapping Subarrays,Hard,FALSE,
Arrays / Hashing / Prefix-sum,Arrays / Hashing / Prefix-sum,Number of Submatrices That Sum to Target,Hard,FALSE,
Arrays / Hashing / Prefix-sum,Arrays / Hashing / Prefix-sum,Max Sum of Rectangle No Larger Than K,Hard,FALSE,
Arrays / Hashing / Prefix-sum,Arrays / Hashing / Prefix-sum,Continuous Subarray Sum / Subarray Sums Divisible by K,Medium,FALSE,
Arrays / Hashing / Prefix-sum,Arrays / Hashing / Prefix-sum,Split Array Largest Sum,Hard,FALSE,
Two Pointers,Two Pointers,3Sum / 4Sum / kSum,Medium,FALSE,
Two Pointers,Two Pointers,Trapping Rain Water,Hard,FALSE,
Two Pointers,Two Pointers,Container With Most Water,Medium,FALSE,
Two Pointers,Two Pointers,Sort Colors,Medium,FALSE,
Two Pointers,Two Pointers,Subarrays with Product Less Than K,Medium,FALSE,
Two Pointers,Two Pointers,Boats to Save People,Medium,FALSE,
Two Pointers,Two Pointers,Count Pairs / 3Sum Smaller,Hard,FALSE,
Two Pointers,Two Pointers,Trapping Rain Water II,Hard,FALSE,
Sliding Window,Sliding Window,Longest Substring Without Repeating Characters,Medium,TRUE,
Sliding Window,Sliding Window,Minimum Window Substring,Hard,TRUE,
Sliding Window,Sliding Window,Subarrays with K Different Integers,Hard,FALSE,
Sliding Window,Sliding Window,Sliding Window Maximum,Hard,FALSE,
Sliding Window,Sliding Window,Longest Substring with At Most K Distinct,Medium,FALSE,
Sliding Window,Sliding Window,Substring with Concatenation of All Words,Hard,FALSE,
Sliding Window,Sliding Window,Minimum Number of K Consecutive Bit Flips,Hard,FALSE,
Sliding Window,Sliding Window,Count Number of Nice Subarrays,Medium,FALSE,
Sliding Window,Sliding Window,Replace the Substring for Balanced String,Hard,FALSE,
Sliding Window,Sliding Window,Longest Substring with At Least K Repeating Characters,Hard,FALSE,
Binary Search,Binary Search,Median of Two Sorted Arrays,Hard,TRUE,
Binary Search,Binary Search,Split Array Largest Sum,Hard,TRUE,
Binary Search,Binary Search,Capacity to Ship Packages Within D Days,Medium,TRUE,
Binary Search,Binary Search,Koko Eating Bananas,Medium,TRUE,
Binary Search,Binary Search,Find K-th Smallest Pair Distance,Hard,TRUE,
Binary Search,Binary Search,Kth Smallest Element in a Sorted Matrix,Hard,TRUE,
Binary Search,Binary Search,Minimize Max Distance to Gas Station,Hard,FALSE,
Binary Search,Binary Search,Find Minimum in Rotated Sorted Array II,Hard,TRUE,
Binary Search,Binary Search,Aggressive Cows / Magnetic Force Between Balls,Hard,FALSE,
Binary Search,Binary Search,Median of a Row-Wise Sorted Matrix,Hard,FALSE,Premium
Monotonic Stack,Monotonic Stack,Largest Rectangle in Histogram,Hard,FALSE,
Monotonic Stack,Monotonic Stack,Maximal Rectangle,Hard,FALSE,
Monotonic Stack,Monotonic Stack,Trapping Rain Water,Hard,FALSE,
Monotonic Stack,Monotonic Stack,Sum of Subarray Minimums,Hard,FALSE,
Monotonic Stack,Monotonic Stack,Remove K Digits / Remove Duplicate Letters,Medium,FALSE,
Monotonic Stack,Monotonic Stack,Largest Rectangle / 132 Pattern,Hard,FALSE,
Monotonic Stack,Monotonic Stack,Maximum Width Ramp,Hard,FALSE,
Monotonic Stack,Monotonic Stack,Number of Visible People in a Queue,Hard,FALSE,
Monotonic Stack,Monotonic Stack,Online Stock Span,Medium,FALSE,
Monotonic Stack,Monotonic Stack,Sum of Subarray Ranges,Hard,FALSE,
Linked List,Linked List,Reverse Nodes in k-Group,Hard,TRUE,
Linked List,Linked List,Merge k Sorted Lists,Hard,TRUE,
Linked List,Linked List,Copy List with Random Pointer,Medium,FALSE,
Linked List,Linked List,LRU Cache,Medium,FALSE,
Linked List,Linked List,LFU Cache,Hard,FALSE,
Linked List,Linked List,Reorder List,Medium,FALSE,
Linked List,Linked List,Linked List Cycle II,Medium,FALSE,
Linked List,Linked List,Sort List,Hard,FALSE,
Linked List,Linked List,Flatten a Multilevel Doubly Linked List,Medium,FALSE,
Linked List,Linked List,Merge In Between Linked Lists,Medium,FALSE,
Trees,Trees,Binary Tree Maximum Path Sum,Hard,TRUE,
